English,French,Frequency,
could, pourrait,530,
council, conseil,15,
counsel, Conseil,93,
count, compter,34,
counterfeit, contrefaire,38,
country, pays,102,
courage, courage,47,
course, cours,111,
court, tribunal,163,
courtesy, courtoisie,33,
cousin, cousin,178,
coward, lâche,68,
crave, demander,37,
creature, créature,47,
credit, crédit,37,
cross, traverser,48,
crown, couronne,139,
cruel, cruel,62,
cunning, ruse,64,
curse, malédiction,67,
custom, Douane,37,
dagger, dague,31,
damned, damné,42,
dance, Danse,53,
danger, danger,72,
darkness, obscurité,31,
daughter, fille,275,
deadly, mortel,43,
dearest, très cher,53,
dearly, chèrement,28,
death, décès,429,
deeds, actes,82,
defend, défendre,57,
degree, diplôme,25,
delight, délice,30,
deliver, livrer,69,
demand, demande,38,
denied, refusé,39,
depart, partir,42,
desert, désert,30,
deserve, mériter,45,
desire, le désir,160,
despair, désespoir,22,
desperate, désespéré,46,
despite, malgré,37,
device, dispositif,27,
devil, diable,153,
devise, concevoir,32,
didst, didst,140,
dinner, dîner,43,
discourse, discours,33,
discover, découvrir,25,
disgrace, disgrâce,35,
dishonour, déshonorer,32,
dispatch, envoi,37,
displeasure, mécontentement,29,
disposition, disposition,30,
divine, Divin,29,
doctor, docteur,18,
doing, Faire,47,
doors, des portes,37,
double, double,68,
doubt, doute,128,
drawn, tiré,80,
dread, crainte,42,
dreadful, horrible,59,
dream, rêver,73,
dreams, rêves,30,
drink, boisson,127,
drops, gouttes,37,
drown, noyer,36,
drums, tambours,23,
drunk, ivre,58,
durst, durst,43,
dwell, habiter,29,
dying, en train de mourir,39,
early, de bonne heure,39,
earth, Terre,167,
effect, effet,41,
either, Soit,98,
elbow, coude,6,
elder, aîné,34,
embrace, embrasse,50,
emperor, empereur,6,
empty, vide,41,
encounter, rencontre,39,
endure, supporter,52,
enemies, ennemis,54,
enemy, ennemi,85,
enjoy, prendre plaisir,31,
enough, assez,208,
enter, entrer,94,
entertain, divertir,35,
entertainment, divertissement,21,
entreat, supplier,95,
equal, égal,40,
estate, biens,29,
eternal, éternel,35,
every, chaque,442,
everything, tout,35,
excellent, excellent,76,
except, sauf,19,
excuse, excuse,46,
execution, exécution,26,
exeunt, sortir,3,
express, Express,28,
faces, visages,33,
faint, perdre connaissance,36,
fairy, Fée,36,
faith, Foi,253,
falls, des chutes,45,
familiar, familier,30,
fancy, fantaisie,34,
farewell, adieu,98,
farther, plus loin,34,
fashion, mode,78,
fatal, fatal,40,
father, père,581,
fault, faute,115,
favour, favoriser,78,
fearful, craintif,81,
fears, peurs,53,
feast, le banquet,64,
feeble, faible,20,
fellow, compagnon,216,
fetch, chercher,100,
field, champ,79,
fiend, démon,44,
fierce, féroce,34,
fiery, ardent,45,
fight, bats toi,170,
figure, figure,31,
finds, trouve,33,
finger, doigt,47,
first, première,392,
flatter, flatter,35,
flesh, la chair,95,
flies, mouches,37,
flight, vol,29,
flood, inonder,25,
flourish, fleurir,29,
flower, fleur,18,
flowers, fleurs,32,
follow, suivre,217,
folly, folie,60,
foolish, insensé,85,
fools, imbéciles,88,
forbear, ancêtre,29,
forbid, interdire,45,
force, Obliger,78,
forces, les forces,22,
forest, forêt,31,
forget, oublier,65,
former, ancien,63,
forsooth, en vérité,36,
forth, en avant,250,
fortune, fortune,183,
forward," ""vers lavant""",57,
fought, combattu,43,
found, a trouvé,167,
fourth, Quatrième,11,
frame, Cadre,33,
freely, librement,38,
fresh, Frais,78,
friend, ami,272,
frown, froncer les sourcils,32,
fruit, fruit,25,
further, plus loin,138,
gallant, galant,50,
garden, jardin,26,
gates, portes,73,
gaunt, décharné,2,
general, général,141,
gentle, doux,328,
ghost, fantôme,15,
given, donné,220,
giving, donnant,30,
glass, verre,37,
glorious, glorieux,38,
glory, gloire,63,
going, Aller,79,
golden," ""dor""",85,
goodness, la bonté,41,
grace, la grâce,189,
grant, subvention,88,
grave, la tombe,94,
great, génial,757,
green, vert,61,
greet, saluer,36,
grief, douleur,123,
grieve, pleurer,37,
gross, brut,44,
ground, sol,85,
grown, grandi,77,
guard, garde,72,
guess, devine,29,
guilty, coupable,59,
habit, habitude,29,
hands, mains,204,
hanging, pendaison,25,
hangs, bloque,32,
happiness, bonheur,37,
happy, heureux,174,
haste, hâte,103,
hateful, odieux,38,
having, ayant,114,
hazard, danger,31,
heads, têtes,69,
health, santé,71,
heard, entendu,290,
heart, cœur,622,
heaven, paradis,398,
heavy, lourd,152,
heels, talons,38,
hence, Par conséquent,194,
henceforth, désormais,23,25
hereafter, ci-après, par la suite',
herself, se,64,
holds, tient,70,
hollow, creux,44,
honest, honnête,229,
horse, cheval,165,
hostess, hôtesse,21,
hours, heures,112,
house, maison,277,
humble, humble,59,
humour, humour,70,
hundred, cent,110,
husband, mari,200,
ignorant, ignorant,40,
image, image,40,
includes, comprend,2,
indeed, En effet,247,
infinite, infini,32,
innocent, innocent,41,
instant, instant,48,
intend," ""avoir lintention""",35,
intent, intention,19,
issue, problème,83,
itself, lui-même,160,
jealous, jaloux,40,
jewel, bijou,44,
judge, juge,52,
judgment, jugement,74,
justice, Justice,107,
keeps, garde,63,
kindness, la gentillesse,35,
kingdom, Royaume,74,
kings, rois,89,
knave, fripon,137,
kneel," ""sagenouiller""",39,
knees, les genoux,31,
knife, couteau,33,
knight, Chevalier,74,
knock, frappe,47,
knowing, connaissance,25,
knowledge, connaissance,56,
known, connu,331,
knows, sait,171,
labour," ""la main doeuvre""",51,
ladies, Dames,87,
ladyship, Madame,25,
lands, terres,41,
large, grand,53,
laugh, rire,73,
lawful, légitime,55,
learn, apprendre,69,
learned, appris,45,
least, moins,78,
leave, laisser,511,
leisure, loisir,45,
letter, lettre,160,
liberty, liberté,34,
library, bibliothèque,2,
liege, Liege,84,
lieutenant, lieutenant,21,
light, lumière,185,
limbs, membres,28,
little, peu,427,
lives, vies,136,
living, vivant,99,
longer, plus long,86,
looks, regards,150,
loose, ample,35,
lords, seigneurs,258,
lordship, seigneurie,85,
lovely, charmant,51,
lovers, les amoureux,63,
loves, aime,215,
loving, aimant,110,
machine, machine,2,
madness, la démence,48,
maiden, jeune fille,39,
maids, servantes,44,
maintain, maintenir,30,
majesty, majesté,36,
makes, fait du,291,
making, fabrication,49,
malice, malice,47,
manner, manière,68,
march, Mars,56,
marriage, mariage,71,
marry, marier,167,
master, Maître,324,
match, rencontre,57,
matter, matière,234,
meaning, sens,36,
means, veux dire,208,
meant, signifiait,42,
measure, mesure,76,
meeting, réunion,33,
memory, Mémoire,29,
merchant, marchande,17,
mercy, pitié,127,
merit, mérite,36,
merry, joyeux,136,
messenger, Messager,33,
midnight, minuit,33,
might, pourrait,406,
mighty, puissant,102,
minds, esprits,45,
minister, ministre,26,
mirth, gaieté,35,
mischief, sottises,34,
misery, misère,21,
mistake, erreur,28,
mistress, maîtresse,195,
modest, modeste,29,
money, argent,138,
monster, monstre,47,
month, mois,30,
morning, Matin,94,
morrow, demain,96,
mortal, mortel,84,
mother, mère,239,
motion, mouvement,61,
mouth, bouche,87,
murder, meurtre,45,
murther, aller plus loin,27,
music, la musique,126,
myself, moi même,330,
naked, nu,47,
names, des noms,39,
native, originaire de,42,
natural, Naturel,52,
nature, la nature,218,
needs, Besoins,135,
neighbour, voisine,37,
neither, ni,131,
never, jamais,847,
niece, nièce,51,
night, nuit,374,
noble, noble,562,
noise, bruit,84,
nothing, rien,451,
nought, néant,43,
number, nombre,42,
nurse, infirmière,52,
oaths, serments,51,
obedience, obéissance,32,
object, objet,32,
occasion, occasion,58,
offence, infraction,55,
offend, offenser,51,
offer, offre,69,
office, Bureau,95,
often, souvent,115,
opinion, opinion,59,
order, ordre,70,
other, autre,572,
others, autres,136,
ourselves, nous-mêmes,73,
outward," ""vers lextérieur""",47,
pains, des douleurs,58,
painted, peint,47,
painter, peintre,9,
palace, palais,40,
paper, papier,60,
pardon, pardon,191,
parted, séparé,30,
particular, particulier,48,
partly, partiellement,32,
parts, les pièces,74,
party, fête,43,
passage, passage,30,
passion, la passion,75,
patience, la patience,101,
patient, patient,72,
peace, paix,254,
people, gens,127,
perceive, apercevoir,68,
perfect, parfait,45,
perhaps, peut-être,24,
peril, péril,32,
permission, autorisation,3,
person, la personne,101,
personal, personnel,13,
picture, image,34,
piece, pièce,74,
pistol, pistolet,3,
place, endroit,258,
plague, peste,77,
plain, plaine,84,
plead, plaider,33,
please," ""Sil vous plaît""",288,
pleasure, plaisir,115,
pluck, cueillir,81,
point, point,93,
poison, poison,66,
policy, politique,26,
porter, porter,12,
possible, possible,37,
pound, livre,42,
power, Puissance,206,
practice, entraine toi,28,
praise, louange,134,
prayers, prières,54,
precious, précieux,68,
prepare, préparer,37,
presence, présence,72,
present, présent,212,
pretty, jolie,104,
pride, fierté,58,
priest, prêtre,37,
prince, prince,73,
prison, prison,52,
private, privé,58,
prize, prix,40,
proceed, procéder,22,
proclaim, proclamer,24,
profit, profit,32,
project, projet,8,
prologue, prologue,18,
promise, promettre,76,
proof, preuve,50,
proper, correct,57,
protector, protecteur,2,
protest, manifestation,38,
proud, fier,167,
prove, prouver,193,
provided, �\xa0 condition de,19,
public, Publique,55,
purpose, objectif,150,
purse, bourse,58,
quality, qualité,36,
quarrel, querelle,78,
queen, reine,97,
question, question,108,
quick, rapide,80,
quiet, silencieux,60,
quite, assez,57,
quoth, quoth,60,
raise, élever,40,
ransom, une rançon,45,
rascal, coquin,48,
rather, plutôt,264,
readable, lisible,2,
ready, prêt,91,
realm, domaine,30,
reason, raison,211,
receive, recevoir,67,
regard, qui concerne,28,
reign, règne,21,
remain, rester,36,
remedy, remède,32,
remember, rappelles toi,118,
render, rendre,34,
repair, réparation,29,
repent, se repentir,35,
report, rapport,90,
reputation, réputation,35,
request, demande,39,
respect, le respect,71,
return, revenir,133,
revenge, vengeance,80,
reverence, révérence,24,
revolt, révolte,22,
right, droite,229,
rivers, rivières,11,
rogue, coquin,62,
rotten, pourri,30,
rough, rugueux,52,
round, rond,49,
royal, Royal,194,
sacred, sacré,46,
safety, sécurité,57,
saint, Saint,13,
satisfied, satisfait,19,
saying, en disant,42,
scarce, rare,60,
scene, scène,23,
scorn, mépris,72,
search, chercher,28,
season, saison,28,
second, seconde,93,
secret, secret,56,
seeing, voyant,33,
senator, sénateur,2,
sense, sens,79,
sentence, phrase,30,
servant, serviteur,107,
serve, servir,160,
service, un service,166,
seven, Sept,58,
several, nombreuses,79,
shadow, ombre,54,
shake, secouer,81,
shall, doit,3025,
shame, la honte,196,
shape, forme,65,
sharp, tranchant,58,
shepherd, berger,39,
shine, éclat,29,
shore, rive,22,
short, court,73,
shortly, prochainement,37,
should, devrait,1366,
shows, montre,77,
sickness, maladie,40,
sight, vue,103,
silence, silence,48,
silver, argent,53,
simple, Facile,62,
since, depuis,259,
single, Célibataire,56,
sirrah, sirrah,53,
sister, sœur,127,
skill, compétence,27,
slain, tué,77,
slander, calomnie,36,
slave, esclave,82,
sleep, sommeil,157,
slender, mince,10,
small, petit,76,
smell, odeur,41,
smile, sourire,52,
soldier, soldat,96,
solemn, solennel,38,
something, quelque chose,139,
sometime, parfois,55,
sooner, plus tôt,53,
soothsayer, devin,3,
sorrow, chagrin,123,
sorry, Pardon,73,
sought, recherché,28,
souls, âmes,89,
sound, du son,123,
sovereign, souverain,98,
spare, de rechange,46,
speak, parler,771,
speaks, parle,100,
special, spécial,37,
speech, discours,88,
speed, la vitesse,74,
spend, dépenser,58,
spirit, esprit,171,
spite, dépit,45,
spoke, parlait,113,
sport, sport,91,
spring, printemps,35,
staff, Personnel,30,
stain, tache,27,
stand, supporter,377,
stars, étoiles,42,
state, Etat,186,
steal, voler,66,
steel, acier,38,
steward, intendant,18,
still, encore,384,
stomach, estomac,33,
stone, calcul,35,
stood, se tenait,68,
store, boutique,22,
storm, orage,29,
story, récit,43,
straight, tout droit,84,
strange, étrange,194,
street, rue,25,
strength, force,92,
strike, la grève,100,
stroke, accident vasculaire cérébral,28,
strong, fort,144,
struck, frappé,60,
study, étude,48,
stuff, des trucs,34,
subject, matière,85,
substance, substance,35,
success, Succès,25,
sudden, soudain,66,
suddenly, tout �\xa0 coup,36,
suffer, souffrir,61,
summer, été,49,
supper, souper,38,
surely, sûrement,30,
suspect, suspect,25,
swear, jurer,171,
sweat, transpiration,31,
sweet, sucré,602,
swift, rapide,57,
sword, épée,228,
swore, juré,44,
sworn, juré,110,
table, table,43,
tailor, tailleur,28,
taken, pris,120,
tarry, goudronneux,30,
taste, goût,56,
taught, enseigné,46,
teach, enseigner,82,
tears, larmes,170,
tedious, fastidieux,38,
teeth, les dents,33,
tells, raconte,41,
tempest, tempête,32,
tender, soumissionner,122,
terms, termes,52,
thank, remercier,272,
their, leur,1895,
themselves, se,114,
there, L�\xa0,1078,
therefore, par conséquent,343,
therein, la bride,41,
these, celles-ci,1030,
thief, voleur,47,
thing, chose,285,
think, pense,840,
third, troisième,62,
those, ceux,435,
though, bien que,376,
thought, pensée,297,
thrive, prospérer,40,
throat, gorge,32,
throne, trône,27,
through, par,209,
throw, jeter,79,
thrust, poussée,45,
thunder, tonnerre,35,
times, fois,184,
title, Titre,74,
together, ensemble,129,
tongue, langue,250,
tonight, ce soir,72,
touch, toucher,87,
toward, vers,89,
tower, la tour,6,
train, train,26,
traitor, traitre,83,
tread, bande de roulement,30,
treason, trahison,61,
treasure, Trésor,39,
trial, procès,43,
tribunes, tribunes,18,
trick, tour,40,
triumph, triomphe,38,
trouble, difficulté,60,
truly, vraiment,107,
trumpet, trompette,56,
trust, confiance,130,
truth, vérité,239,
turns, se tourne,42,
twice, deux fois,54,
tyrant, tyran,37,
uncle, oncle,143,
under, sous,196,
understand, comprendre,85,
undertake, entreprendre,36,
undone, défait,34,
unhappy, malheureux,30,
unknown, inconnue,31,
unless, sauf si,62,
until," ""jusqu�\xa0""",37,
unworthy, indigne,31,
utter, prononcer,30,
valiant, vaillant,122,
valour, valeur,81,
vantage, avantage,31,
vengeance, vengeance,41,
version, version,1,
victory, la victoire,25,
villain, scélérat,150,
violent, violent,39,
virtue, vertu,142,
visit, visite,45,
voice, voix,105,
walls, des murs,50,
warlike, guerrier,58,
warrant, mandat,158,
waste, déchets,35,
watch, regarder,88,
water, eau,104,
wealth, richesse,58,
weapons, armes,31,
weary, se lasser,63,
weeds, mauvaises herbes,28,
weeping, larmes,42,
weight, poids,31,
welcome, Bienvenue,215,
wench, jeune fille,34,
whence," ""doù""",54,
where, où,616,
wherein, où,57,
whether," ""quil sagisse""",52,
which, lequel,1335,
while, tandis que,134,
whither, où,33,
whole, entier,109,
whore, putain,28,
whose, dont,374,
widow, veuve,46,
willing, prêt,30,
